"CAR_SE_ALOPER";"NUM_OPER_ALIM_ALOPER";"NOME_ALOPER";"TOT_CONS_ALOPER";"TOT_KVA_ALOPER";"QTDE_POSTO_ALOPER";"COMPRIM_TOT_ALOPER";"NVL(AO.INDIC_ALIM_EXPRES_ALOPER,'N')";"CONJUNTO"
74347;743476670;HAITI;6669;14252;113;17.51;N;15957
74347;743476671;COLOMBIA;1912;11100;52;9.94;N;15957
74146;741466674;MAITACA;3306;18278;88;8.49;N;15955
74146;741466675;ANDORINHA;1380;4815;44;6.69;N;15955
74146;741466676;GUAXE;3967;11848;111;19.67;N;15955
74146;741466677;URUBU;1318;9788;38;6.85;N;15955
74346;743466678;GRALHA AZUL;5507;13750;108;15.9;N;15972
74346;743466679;TAVARES LYRA;4192;6968;78;10.54;N;15972
74760;747606680;TIZIU;5301;6492;73;16.6;N;16774
74755;747556685;BLUMENAU;2847;26852;115;18.56;N;15922
74674;746746686;SINGAPURA;3583;10092;92;17.43;N;14581
74674;746746687;SUDAO;8118;16750;157;27.73;N;14581
72995;729956688;LUXEMBURGO;11;6575;0;3.29;N;15575
71812;718126732;LINDOIA;9370;17490;181;28.41;N;16771
75681;756816733;TURMALINA;230;2558;52;42.81;N;14651
72825;728256734;ACÁCIA;271;12038;100;115.54;N;14636
75681;756812009;SEMQNO;2;850;3;14.17;N;14651
72211;722116737;SEQUOIA;4812;14275;137;25.88;N;15968
71780;717802010;ITAIACOCA;1516;17082;906;396.17;N;14680
75405;754056738;HIBISCO;910;15112;638;242.59;N;14658
72360;723606741;VITORELLI;3900;11445;170;42.77;N;14665
75524;755242014;SALTO BANDEIRANTES;1;0;0;9.93;N;14666
72080;720806756;JOSÉ BONIFÁCIO;3397;12135;226;119.52;N;14693
72194;721946820;HONDURAS;541;18280;291;130.73;N;16760
72194;721946821;BULGÁRIA;1917;3832;49;8.53;N;16760
72194;721946822;ANGOLA;4215;25688;346;119.53;N;16760
72194;721946823;CHINA;1620;12052;190;89.06;N;16760
72194;721946824;FRANÇA;1346;13360;259;129.53;N;16760
72194;721946825;ISLÂNDIA;0;0;0;0.02;N;16760
74749;747496841;ARROZ;6639;9508;119;22.07;N;16773
74749;747496842;CENTEIO;6069;9295;84;14.15;N;16773
74749;747496843;CEVADA;2449;20808;135;35.14;N;16773
75211;752116853;BARRAGEM GBM;17;723;13;21.23;N;15927
75263;752632089;RUI BARBOSA;2904;13050;362;133.21;N;15947
75263;752632090;LUSTOSA;859;10632;580;237.21;N;15947
75100;751006870;ALAMBARI;48;9138;12;5.64;N;14693
75176;751766893;COPACABANA DO NORTE;885;7220;217;128.88;N;15943
75589;755896896;Ingá;1145;3125;48;8.99;N;15571
75231;752312122;BOCO;1003;12191;613;178.79;N;16770
75599;755992130;ZINA;0;0;0;0.03;N;14628
72211;722116906;Figueira;5827;13275;140;30.32;N;15968
72211;722116907;Tipuana;5055;21160;246;125.89;N;15968
75258;752586921;VELEIRO;3097;21430;260;123.43;N;14698
75975;759752145;ANACLETO;2371;6857;218;103.86;N;15953
72573;725736922;Orquídea;2391;10934;80;12.32;N;14658
71473;714736578;MARITACAS;2774;12802;88;24.21;N;14671
72209;722096580;BIGUÁ;775;11357;538;292.93;N;15967
71473;714736597;AEROCLUBE;98;5098;10;4.12;N;14671
72578;725786600;LUPION;1803;13790;125;54.92;N;14656
75976;759766604;NIÁGARA;1549;5575;103;56.31;N;14683
75645;756456612;RIOZINHO DE BAIXO;2499;8365;217;68.12;N;15565
72634;726346633;JAMAICA;1755;8462;40;4.89;N;15965
72634;726346634;MÉXICO;2807;8745;59;7.18;N;15965
72634;726346635;EQUADOR;3480;16900;88;11.81;N;15965
72634;726346637;GUATEMALA;1027;9678;21;3.02;N;15965
72634;726346638;CUBA;6344;34102;86;11.58;N;15965
72634;726346639;VENEZUELA;6643;21560;63;8.38;N;15965
72634;726346640;BOLÍVIA;3331;11638;66;5.77;N;15965
72910;729101984;CERRO AZUL;561;16676;231;149.03;N;15950
71800;718001987;EXPRESSO COREANO;3;1630;3;58.34;S;15574
72371;723716660;BANDEIRANTES;4319;11350;131;33.96;N;15958
72371;723711995;BRASLUMBER;13;11808;6;1.72;N;15958
72371;723711996;ORTIGUEIRA;0;10;1;38.73;S;15958
72656;726566663;MALBEC;5006;15808;165;32.56;N;15964
74090;740906697;RODRIGO TASCHETTO;3772;5138;69;12.05;N;15923
75775;757756700;VITORINÓPOLIS;613;6714;333;112.87;N;14687
75681;756816735;AMETISTA;297;5641;212;118.54;N;14651
71780;717802011;MARS;4;22620;2;7.78;N;14680
72846;728466743;MAROLA;5065;13350;152;34.89;N;16769
72590;725906763;JARDIM AEROPORTO;2603;17470;159;42.26;N;14651
75223;752232023;PCH TIGRE;1;0;0;14.29;N;15946
75223;752232024;CORUJA;1230;18136;735;492.68;N;15946
75223;752232025;PCH COVO;1;0;0;7.42;N;15946
75223;752232026;EMA;896;2058;29;7.29;N;15946
75223;752232027;GARCA;3211;12178;125;29.21;N;15946
75223;752232028;JOAO DE BARRO;812;7606;407;194.58;N;15946
75223;752232029;PETREL;926;7929;408;166.42;N;15946
75849;758496770;SERTÃO;194;3508;66;74.16;N;14665
75166;751666774;PAPOULA;356;7408;227;64.86;N;15939
75126;751266781;FIANO;1504;11076;748;242.23;N;15924
75711;757112045;GELESKI;580;5774;419;187.64;N;14632
72240;722402048;PCH CASTRO;2;150;0;20.72;N;14678
72200;722006796;JAGUATIRICA;104;24412;60;27.95;N;16761
72855;728552064;RIO BRANCO;0;0;0;15.64;S;14627
72872;728726835;Iratim;0;0;0;0;N;16772
72872;728726836;Bulha;0;0;0;0;N;16772
74749;747496839;AVEIA;4841;5008;59;10.58;N;16773
74749;747496840;SOJA;3489;13928;94;22.36;N;16773
72985;729856848;PALLADIUM;216;8758;9;2.03;N;15573
72760;727606856;AURORA;2614;20308;74;15.06;N;15933
75506;755066857;RIO DO PEIXE;764;5571;184;173.18;N;16776
75329;753296859;AMERICA;3820;12445;148;34.38;N;15933
75329;753296860;AGRO-IPE;365;8462;83;56.9;N;15933
75626;756266871;VIEIRAS;523;5292;240;76.4;N;14638
72857;728576882;Opala;3;6862;0;4.3;N;14626
75579;755792113;SERTAOZINHO;364;3284;113;82.91;N;14682
71700;717002123;GOIAS;15;15678;3;17.87;N;15943
75095;750952126;CALOGERAS;0;0;0;0.05;N;15953
72856;728562132;PINHAL;0;10;1;29.82;N;15970
71480;714806905;JARDIM PRIMAVERA;4375;8500;136;77.31;N;15941
72988;729886913;TREVO;0;0;0;0.02;N;16770
72988;729886914;VILA BELA;0;0;0;0.01;N;16770
72290;722906923;Capital;5892;12920;147;31.34;N;14672
74846;748466924;QUÍMICA GPC;1;9000;0;2.75;N;14603
75596;755962150;ZATTARLANDIA;636;7378;530;289.82;N;14619
74032;740326925;GUARARAPES;8219;21512;136;10.87;N;16754
74032;740326926;MARANHAO;8428;24690;135;13.2;N;16754
74032;740326927;RIO DE JANEIRO;7021;18202;137;13.94;N;16754
74032;740326928;KENNEDY;1360;5250;33;4.55;N;16754
74032;740326929;MATO GROSSO;6737;22238;112;9.37;N;16754
74032;740326930;RIO GRANDE DO SUL;6780;13522;117;17.87;N;16754
75258;752582151;IATE;187;3695;37;20.58;N;14698
72770;727702167;BERNIERI;2447;19736;1438;760.43;N;14642
72991;729916958;Porto Seguro;4571;11880;157;32.97;N;15572
72850;728506959;Murerê;2629;13975;176;49.88;N;14628
75644;756442169;PARAISO DO NORTE;351;25006;286;180.66;N;14672
72760;727606967;Coroaves;1102;14335;55;11.14;N;15933
75215;752152174;BUGIO;511;3486;261;110.21;N;15927
72295;722952170;EXPRESSA RONDON;0;0;0;32.2;S;14667
72823;728232172;PORTO AMAZONAS;59;10822;42;43.54;N;14638
72930;729306949;Jabuticabeira;288;12318;111;50.08;N;15928
72930;729306950;Parigot de Souza;6702;32588;301;62.56;N;15928
72970;729706956;Zaeli;3633;23185;106;19.63;N;15571
72970;729706957;Malta;1079;11652;88;20.86;N;15571
75644;756442173;EXPRESSA PARAISO;0;0;0;26.73;N;14672
72205;722056951;CERNE;0;0;0;16.91;N;15563
75589;755892166;ALTO PIQUIRI;478;5155;184;125.28;N;15571
75649;756496953;Roma;77;9922;20;7.96;N;14698
75532;755322168;SAO JORGE DO IVAI;14;1365;14;22.43;N;15933
75634;756346963;Ribeirão;402;5880;278;108.34;N;15565
75634;756346964;Carvorite;216;2325;173;77.31;N;15565
74343;743436965;Esmeralda;6280;26595;268;49.61;N;14586
75031;750316966;Antúrio;3031;11902;127;33.67;N;14628
72080;720806952;Cormura;1057;7040;49;19.6;N;14693
72080;720802171;TIMBURI;1;5030;1;4.66;N;14693
75341;753416962;PEREIRA;439;3620;27;6.11;N;15938
72850;728501041;AEROPORTO REALEZA;1;45;1;17.3;N;14628
72846;728461196;GRAJAU ;0;0;0;8.21;S;16769
72830;728307099;Novo Centro;2572;6815;66;13.64;N;14634
72830;728307100;Tupinambás;4192;12878;130;26.52;N;14634
72830;728307101;Ipê;2887;7305;74;16.29;N;14634
72830;728307102;Campestre;3792;18630;196;58.14;N;14634
72295;722952322;PAMPA;5;5050;5;5.49;N;14667
72857;728572392;QUARTZO;1;5430;2;16.84;N;14626
72849;728491187;EXPRESSO TRES BARRAS;5266;37967;1526;671.05;N;14629
72091;720911212;EXPRESSO VENTANIA;48;120;5;58.31;N;15953
74348;743487069;Dantas;3714;6645;79;11.84;N;16762
72850;728502230;EXPRESSO AMPERE;1;30;1;17.07;S;14628
75167;751672275;RIO DA AREIA;1304;13874;1081;499.96;N;15959
75627;756272306;PARADAO;1;1000;0;16.59;N;14656
72996;729967178;Vila Militar;2867;9855;68;15.42;N;14611
72996;729967179;Síria;4667;6965;68;16.67;N;14611
72997;729977181;Oficinas;723;2515;19;4.86;N;14680
72997;729977182;Jardim Amalia;3022;7648;60;11.47;N;14680
72997;729977183;Serrana;76;7420;11;4.54;N;14680
72997;729977184;Copaci;3793;25152;116;43.17;N;14680
72997;729977185;PORTO SEGURO;1242;3392;35;11.34;N;14680
72997;729977186;João Vinte E Três;2006;8112;88;25.3;N;14680
72997;729977187;Santa Maria;2604;3315;53;11.2;N;14680
72997;729977188;Dona Luiza;2107;8758;139;32.68;N;14680
71700;717000511;MELVIN JONES;10;3075;7;10.77;N;15943
72655;726551057;MERCEDES;1;330;1;20.35;S;14645
75030;750307115;Falcão;1596;9220;463;113.22;N;14633
72890;728905041;BRISAS;5032;11630;142;38.86;N;15930
72834;728347211;Violeta;0;0;0;0.01;N;14658
72834;728347212;Marrecas;2447;10450;108;19.21;N;14658
72834;728347213;Água Branca;3391;10675;115;21.48;N;14658
72834;728347214;Torre;3312;10432;102;16.22;N;14658
72834;728347215;Colorado;280;1285;23;5.08;N;14658
72834;728347216;Reiznaut;765;12218;61;14.56;N;14658
72826;728267225;EXTRA;0;0;0;0.12;N;15959
72964;729646970;AYMORÉS;2856;15302;289;134.36;N;16776
72964;729646971;CENTRO;1740;5315;49;8.61;N;16776
72964;729646972;COAGRU;4106;8572;135;28.29;N;16776
72988;729882231;PCH TAGUA;1;0;0;39.74;N;16770
74050;740500580;IMCOPA;1;8750;0;4.22;N;15924
75291;752917080;BARRA DA AREIA;1067;10263;823;383.74;N;16770
75030;750302337;LD AIS MIB;42;2795;19;12.68;N;14633
74755;747557171;Camilo;2778;16502;81;12.53;N;15922
72560;725601043;MANDIRITUBA              ;0;0;0;21.53;S;15938
72826;728267129;MARCHESE;4307;8510;78;26.47;N;15959
72370;723705372;FERRARIA;0;0;0;0.05;N;14684
74760;747607236;Rio Bonito;5355;4935;59;19.85;N;16774
72840;728401111;PCH PEDRINHO;2;0;0;51.97;N;14632
72859;728592351;MORUNGAVA;1952;12491;400;260.4;N;16780
72150;721502180;PHARMASOLAR;4;3030;1;6.85;N;14697
72201;722011091;PCH ELEJOR;3;5158;0;46.8;N;15946
72655;726557268;Frankfurt;0;0;0;0;N;14645
75546;755462186;GRAMADOS;1416;12137;981;455.81;N;16770
75546;755462187;TURVO;1;85;2;26.26;S;16770
75174;751742319;BARRO PRETO;1160;12681;191;120.27;N;15940
72841;728412179;FRIGORIFICO SAO MIGUEL;1156;13292;360;140.34;N;15576
72201;722010977;PCH TROMBINI;1;3500;0;5.08;N;15946
72760;727600257;MANDAGUACU;284;5418;148;83.94;N;15933
75305;753051023;DESTILARIA CARGA;70;698;16;13.93;N;14672
72970;729700283;UMU PEROBAL;566;16969;503;231.62;N;15571
72646;726467193;Candonga;0;0;0;0.02;N;14583
72685;726857194;Ramos;2880;5562;77;15.62;N;14644
75034;750347195;Thiago Peixoto;0;0;0;2.09;N;14583
72980;729800792;CELESC;1;0;0;4.73;N;15927
72686;726862389;MORUS;1;5010;1;5.47;N;15963
72080;720800684;MELLO PEIXOTO;1;30;1;21.79;N;14693
72561;725616994;Rio Tejo;9910;16335;189;33.01;N;15956
74346;743466995;NASSER;735;13915;21;5.94;N;15972
75942;759422330;TURPME;517;5282;269;98.74;N;16770
72370;723705376;TRITEC 2;0;0;0;0.17;N;14684
72370;723705370;CIDADE 3;0;0;0;0.05;N;14684
72823;728230991;WITMARSUN;4;198;4;20.54;S;14638
75732;757322260;CACIC;438;10015;251;137.27;N;15576
75524;755240639;NSGGCI;455;4738;135;84.33;N;14666
72370;723705374;CIDADE 4;0;0;0;0.05;N;14684
71170;711707209;Xisto 2;15;4315;10;4.46;N;15581
72843;728432405;CAPINZAL;456;6960;339;163.61;N;14678
72843;728432406;PAPELEIRA;18;395;12;12.17;N;14678
72500;725001015;EXPRESSO UNIOESTE;0;0;0;6.42;N;15577
75080;750802386;VEGANO;2577;8321;311;120.6;N;14628
72300;723000978;PIRAPO;118;4510;100;61.09;N;14666
75534;755340899;EXPRESSO PITAYAS;0;10;1;21.43;S;15958
72850;728500918;PEROLA DO OESTE;3;90;2;26.09;S;14628
72561;725616996;Paraguai;4834;9870;97;15.97;N;15956
75506;755066858;GEREMIAS LUNARDELLI;468;2536;164;84.18;N;16776
75002;750022236;GALDINO;0;0;0;15.42;N;14697
72988;729881100;MACEDO  (GRUPO REDE);0;0;0;0.03;N;16770
72988;729885440;INDUSTRIAL;0;0;0;0.02;N;16770
72270;722700720;OLVEPAR ;1;8400;0;19.52;N;14676
72824;728241216;PCH CONTESTADO;1;0;0;41.48;N;14637
72201;722011107;PCH JORDAO;2;45;2;4.62;N;15946
74876;748767108;Rio Iriri;4620;5832;59;10.64;N;15954
72100;721002414;EXPRESSO SABAUDIA;0;30;1;17.38;N;14698
72380;723800825;EXPRESSO SAO JOAO;1;85;2;41.48;S;15939
74699;746990962;CAMPINA GRANDE DO SUL;4;12200;0;30.2;S;14578
75464;754640331;BANDEIRANTES;756;9424;289;106.43;N;15569
75464;754640924;DOM GERALDO;2676;10888;139;34.61;N;15569
71170;711707218;Bauxita 2;62;11432;17;6.11;N;15581
75205;752057365;LURDES;1091;8758;205;107.31;N;14651
72210;722102402;SALTINHO;1;6010;1;15.37;N;14682
75871;758712417;LD MIB/DIM (1ª FONTE);0;0;0;0.05;N;15938
72770;727702294;PCH CAVERNOSO 3 E 4;2;7200;0;45.88;N;14642
72090;720907143;JoÃo de Barro;3581;7230;69;16.83;N;15585
75775;757752331;AGUA COMPRIDA;0;0;0;0.1;N;14687
71470;714707123;Butiá;1326;5108;91;26.97;N;14670
75609;756092320;PLAAMA;97;3865;76;47.45;N;14651
75609;756092321;PLAGIR;175;3165;101;97.98;N;14651
72210;722100243;ARARUNA;0;30;1;23.41;S;14682
72582;725820943;IPIRANGA;2;40;2;39.94;S;15947
72090;720901061;AGUA DOS MONTES;14;5512;9;18.77;N;15585
75156;751567128;Flor da Serra;1812;9100;130;63.21;N;15570
74846;748467154;Uirapurú;37;10232;13;3.7;N;14603
72650;726507169;Barbacena;3486;5632;81;25.47;N;16764
72573;725731267;EXPRESSO SALGADO FILHO;0;10;1;45.25;S;14658
72868;728681117;SANTANA DO ITARARE;1;50;3;44.75;S;16780
75040;750406989;Leque;0;0;0;0.11;N;16755
75927;759272366;LD TIS RRA;0;0;0;36.34;N;14633
71180;711805097;CRISTAL;5526;18245;196;47.38;N;14591
75882;758822396;CGH MARREQUINHA;1;3435;1;13.66;N;14632
75519;755191103;MATAO (RA COOPAGRA);208;7106;213;148.25;N;14651
71080;710806973;FOZ DO AREIA;2;45;1;0.13;S;15927
72095;720951280;COTIA;0;0;0;1.67;N;14699
75634;756341118;GUARAUNA;583;9483;298;181.8;N;15565
72930;729307121;Jardim Coopagro;5186;13500;159;34.78;N;15928
75559;755592398;EXPRESSO PARANAPOEMA;0;0;0;34.72;N;15945
72560;725602152;ROSEIRA;0;0;0;18.77;S;15938
72194;721942068;CORBELIA;3;265;6;27.22;S;16760
72994;729941246;EXPRESSO JACIABA;1;55;2;57.22;S;15565
72590;725900457;STA IZABEL DO IVAI;5;95;6;15.77;S;14651
75699;756992105;EXPRESSO PLANALTINA DO PR;8;2162;6;34.38;S;14651
72190;721900847;EXPRESSO TUPASSI;1;40;2;25.91;S;16756
74881;748811203;SALTO DO MEIO/VOS;2;95;4;10.54;S;14600
72578;725780587;QUARTO CENTENARIO;8;600;8;16.94;S;14656
72988;729881205;ECOLUZ;1;2000;0;4.82;N;16770
72585;725850828;IVAI;0;0;0;7.26;N;14653
71180;711806988;MERGULHÃO;1311;20632;500;132.85;N;14591
75464;754642198;NORMANDIA;348;5308;186;79.9;N;15569
74699;746997012;JARDIM PAULISTA;4854;10568;101;18.32;N;14578
74699;746997013;BORDA DO CAMPO;3095;29898;337;90.51;N;14578
74699;746997014;CASTELO BRANCO;3204;19195;143;34.6;N;14578
74699;746997015;CEMOPAR;523;32325;104;28.28;N;14578
74699;746997017;ANHANGAVA;335;3432;11;3.59;N;14578
74699;746997018;COLONIA FARIA;4945;10030;126;21.45;N;14578
74699;746997019;CANDOI;1288;18408;75;18.58;N;14578
72020;720202239;EXPRESSA IPORA;0;0;0;32.52;S;14691
72834;728342377;ALCAST;2;9205;1;22.58;N;14658
72834;728342378;FLOR DA SERRA EXPRESSO;1913;16704;810;378.31;N;14658
72834;728342379;MARMELEIRO EXPRESSO;0;105;1;8.3;S;14658
75882;758822410;DALZOTO;941;2936;111;41;N;14632
75108;751082190;LD CPT RDR;925;9350;510;234.24;N;14652
75108;751082191;LD CPT LDO;0;0;0;38.53;N;14652
72866;728667267;São Jorge;882;6910;111;49.47;N;15570
75151;751517378;Catarina;814;11930;126;40.25;N;14651
72576;725761034;LD GBA/COR;0;0;0;10;S;14657
75010;750107053;Cerqueira;3763;6552;92;18.64;N;16769
75010;750107054;Praia Grande;6693;12118;144;25.92;N;14644
72010;720100141;NOVA ESPERANCA;3;45;3;15.55;N;15963
74685;746857049;Vidal Ramos;4171;8358;112;19.39;N;14579
75995;759952282;WARLNA;25;2915;27;20.66;N;14696
75519;755197271;Marilena;3020;13992;306;129.55;N;14651
75682;756827273;Camera;318;12020;170;113.68;N;14698
72231;722317439;Hiroshima;1263;1928;21;4.38;N;15933
72647;726477318;JACIARA;547;5568;112;102.4;N;14647
72205;722052473;PURUNA;0;0;1;42.48;N;14684
75464;754642197;ITAIPULANDIA;3495;22150;377;123.94;N;15569
71500;715007189;Moringão;0;0;0;0.01;N;16763
71500;715007190;Calçadão;2536;2992;34;8.76;N;16763
71500;715007191;Tubarão;4319;9440;62;12.44;N;16763
75040;750402384;GUARAVERA;2;360;4;57.18;S;16755
72850;728502440;CXS;0;0;0;0.15;N;14628
72995;729956997;Jardim das Flores;0;0;0;0.03;N;15575
72800;728006999;Clube União;3179;11242;82;15.51;N;15570
72180;721807160;Águia;3456;16140;272;90.73;N;15919
75882;758822415;COSCHINHAQUI;1;5085;1;17.25;N;14632
75882;758822416;SANTA JACINTA;1;3555;1;21.52;N;14632
75732;757322427;BARIGUI;4034;12703;179;48.15;N;15576
75732;757322428;GUAIBA;1710;3938;45;10.54;N;15576
72930;729307492;Spets;0;0;0;20.05;N;15928
71170;711707203;Estearina 2;5499;20655;74;16.16;N;15581
71170;711707204;Santa Rita 2;3806;9972;74;11.99;N;15581
71170;711707205;Tucano 2;390;10980;31;8.54;N;15581
74347;743477170;VIOLANI;4551;6140;67;12.95;N;15957
72590;725902401;EXPR STA ISABEL DO IVAI;111;3622;83;52.03;N;14651
72830;728302232;EXPRESSO GUAIRACA;16;7270;16;47.28;N;14634
72830;728302233;APOLO;8;17850;5;27.52;N;14634
74343;743437047;Paulina;4189;5610;73;12.68;N;14586
74343;743437048;Toniolo;8596;15562;167;26.2;N;14586
72890;728907144;Mirim;3657;11420;77;20.62;N;15930
74878;748787431;Santo Angelo;6444;11272;109;20.55;N;15578
74699;746997021;PALOTINA;2771;8382;170;49.22;N;14578
75277;752772482;RIO BRANCO;0;30;1;0.04;N;15970
72560;725602308;USINA;1;4010;1;8.62;N;15938
72630;726307168;Jurema;8038;17108;167;32.33;N;14650
72180;721807282;Inplasul;1;8000;0;5.61;N;15919
72760;727607159;Despertar;3754;7155;61;12.22;N;15933
72110;721102464;ROMANCHE;0;0;0;0.03;N;14672
72686;726867032;ZACARIAS;2461;26620;352;146.8;N;15963
72686;726867033;ROCHA POMBO;1866;5225;48;8.07;N;15963
72686;726867034;CAPELINHA;2776;12408;233;102.44;N;15963
72686;726867035;BOM RETIRO;211;2988;73;40.36;N;15963
72686;726867036;ATALAIA;2051;12882;220;117.41;N;15963
72686;726867037;UNIFLOR;1159;8281;260;171.05;N;15963
72686;726867038;VILA REGINA;2177;5188;51;16.41;N;15963
72830;728307130;Jequitibá;3153;6505;90;22.09;N;14634
75146;751462340;PCH CHOPIM I;1;0;1;0.1;N;15919
72212;722127028;BOICHININGA;1912;23315;216;52.24;N;15973
72212;722127029;BRACATINGA;2643;26535;407;92.8;N;15973
72212;722127030;ROSARIO;5297;24400;248;48.2;N;15973
72212;722127031;CAMPININHA;1036;14172;267;61.79;N;15973
72209;722097276;Linha Baia;407;6468;366;227.66;N;15967
72865;728657252;Guirro;6429;9982;110;18.6;N;15961
72830;728307090;TRE;1;2075;0;0.61;N;14634
75275;752752299;PONTAL;0;0;0;14.19;N;16769
72153;721537200;Guairacá;4690;16212;139;31.11;N;14694
72153;721537201;Araújo;7027;10728;149;68.78;N;14694
71730;717307027;Shopping Pato Branco;7;5220;1;1.57;N;15919
71900;719007198;Ambiental;1;300;0;3;N;16775
72593;725932381;UEM;1;12000;0;0.61;N;15933
75834;758342388;CARBONEIRA;630;9646;454;216.46;N;15572
74743;747437074;BARBIERO;4520;7890;154;29.28;N;15567
72991;729912348;EXPRESSO SERRA DOURADOS;1;55;2;23.79;S;15572
72080;720802196;USINA JACAREZINHO;1;0;0;32.9;N;14693
72991;729917041;PORTUGAL;4586;11065;164;37.89;N;15572
72685;726857319;Miraguaia;0;0;0;0.03;N;14644
72685;726857320;Itacolomi;2400;7118;67;7.5;N;14644
72656;726562375;CABERNET;1;6010;1;6.01;N;15964
75877;758777401;Rondinha;1410;13657;352;123.9;N;15959
71700;717007125;Osório;3943;11892;93;18.24;N;15943
71700;717007126;Horto;3031;13598;99;28.44;N;15943
72762;727622341;CARLOPOLIS;146;1992;81;49.91;N;16780
72762;727622342;BANDEIRA;9;8195;9;13.14;S;16780
72231;722317440;Fukuoka;2508;8792;182;94.49;N;15933
72231;722317441;Quioto;4150;5715;73;17.92;N;15933
72231;722317442;Osaka;3221;5820;47;7.13;N;15933
74570;745707488;Guaraci;0;0;0;0.21;N;16765
75199;751992346;FLAIVA;2;1225;0;16.84;N;14682
75435;754352356;MADEIREIRO;25;1079;31;39.54;N;14662
75100;751002368;ARUNA;1;5010;1;4.15;N;14693
71300;713007085;"14 de Novembro";3729;5472;78;20.02;N;14668
72762;727622343;TAVORENSE;4;135;4;11.2;N;16780
72762;727622344;GUAPIRAMA;12;2660;7;13.16;N;16780
72762;727627173;Agua Verde;243;3410;142;56.12;N;16780
72762;727627174;Getulio Vargas;1193;8070;76;18.33;N;16780
72762;727627175;Santuario;871;8952;447;195.89;N;16780
72762;727627176;Ubirajara;3435;7952;81;16.63;N;16780
72762;727627177;Vale;97;2586;86;35.76;N;16780
72866;728667253;Farol;1881;7388;87;19.05;N;15570
72866;728667254;Vila Ipiranga;1031;13326;401;153.23;N;15570
72866;728667255;Farroupilha;2265;7585;73;11.93;N;15570
72866;728667256;Deserto;1773;7620;53;10.63;N;15570
72866;728667257;Guellere;2952;7808;96;18.14;N;15570
72686;726867287;CASULO;2577;7230;95;48.4;N;15963
72890;728907109;Conceição;0;0;0;0.01;N;15930
72890;728907110;Juparanã;0;0;0;0.01;N;15930
72890;728907111;Guaiba;0;0;0;0.01;N;15930
72043;720432195;GERACAO RINCAO DA PONTE;1;6010;1;23.33;N;15929
72866;728662400;SERRANOPOLIS;980;26770;490;289.21;N;15570
75108;751087321;Cunhupa;400;5388;220;92.79;N;14652
75108;751087323;Castelinho;1802;5988;97;28.37;N;14652
75108;751087324;Capoeira;1598;12440;500;200.58;N;14652
75871;758717022;VENEZA;4256;24425;297;70.25;N;15938
75871;758717024;DIAMANTE;781;13328;260;79.63;N;15938
72810;728107380;DOURADO;652;1075;16;3.6;N;14651
72821;728217433;Moldavia;4398;7008;58;13.68;N;14640
72231;722317436;Nagoia;2912;4400;48;9.7;N;15933
75589;755892485;TAMOIO;0;0;0;0.06;N;15571
72380;723807131;CrisÂntemo;4171;11682;107;26.1;N;15939
72207;722077329;São Francisco;1081;6838;172;70.2;N;14628
72207;722077330;Bom Jesus;545;8866;293;116.04;N;14628
72207;722077331;Caçula;780;5755;171;61.51;N;14628
72207;722077332;Havaí;4190;9925;138;27.89;N;14628
71473;714732247;BURE;1;9710;3;25.4;N;14671
72843;728437260;SERRINHA;50;4032;46;111;N;14678
72843;728437261;TIJUCO;122;2688;83;47.68;N;14678
72843;728437262;Seminario Velho;2676;5296;78;16.84;N;14678
72843;728437263;Lagoa Sao Jose;1395;15314;751;269.73;N;14678
75156;751567104;Dunas;185;4720;105;91.6;N;15570
75156;751567105;BasÍlica;0;0;0;0.02;N;15570
75156;751567107;JardinÓpolis;124;4378;55;41.68;N;15570
74343;743437045;Alberti;2195;17272;66;12.22;N;14586
74343;743437046;Baggio;4629;14100;336;74.63;N;14586
74145;741457096;Jorge Brey;4927;8402;84;12.54;N;16759
72865;728657232;Hamurabi;3576;3338;37;10.39;N;15961
72865;728657233;Eufrates;3313;3862;51;10.01;N;15961
72190;721902425;EXPRESSO ALTO PIQUIRI;0;40;2;29.64;S;16756
75205;752057373;Guadalupe;487;2852;23;15.68;N;14651
75273;752732486;LD CHG DA ILHA;0;10;1;0.23;N;15919
75273;752732487;LD CDG DA ILHA;0;5;1;0.03;N;15939
72830;728302488;NOVA ALIANCA;1;5385;1;12.72;N;14634
72160;721602361;SAO LUIZ;575;11783;373;144.32;N;14628
75174;751747382;Antônio Cunha;1836;8648;68;17.82;N;15940
72651;726517208;Cambucá;4385;6795;79;18.17;N;15962
72686;726862370;PRESIDENTE CASTELO BRANCO;0;0;0;0.01;N;15963
75108;751082419;LD NOVO RIO DA AREIA;0;0;0;0;N;14652
75828;758282189;LD PINHAL CERRO AZUL;0;20;2;45.34;N;15970
75535;755357025;Espírito Santo;3198;5288;73;16.44;N;15943
72212;722122242;BOCAIUVA DO SUL;0;0;0;20.16;N;15973
72240;722407103;Jardins;4404;9180;101;18.9;N;14678
72869;728692463;LUA AZUL;146;1350;89;41.62;N;14619
72821;728217432;Moldavia;0;0;0;0.15;N;
72830;728302492;PINUS;0;10;1;0.94;N;14634
71170;711707199;Charlex 2;8;11610;4;2.25;N;15581
75519;755192226;DESTILARIA MELHORAMENTOS;1;0;0;4.8;N;14651
75275;752757052;Caboto;4449;8585;124;28.37;N;16769
72586;725862263;LIVERPOOL;3;195;3;17.78;S;14668
